date,weekend_or_holiday,price,return,logreturn,flag
2025-05-01,0,437.25,,,
2025-05-02,0,440.00,,,
2025-05-03,1,440.00,,,
2025-05-04,1,440.00,,,
2025-05-05,0,432.75,,,
2025-05-06,0,430.25,,,
2025-05-07,0,429.50,,,
2025-05-08,0,426.50,,,
2025-05-09,0,429.25,,,
2025-05-10,1,429.25,,,
2025-05-11,1,429.25,,,
2025-05-12,0,432.75,,,
2025-05-13,0,427.25,,,
2025-05-14,0,427.25,,,
2025-05-15,0,425.00,,,0
2025-05-16,0,,,,
2025-05-17,1,,,,
2025-05-18,1,,,,
2025-05-19,0,,,,
2025-05-20,0,,,,
2025-05-21,0,,,,
2025-05-22,0,,,,
2025-05-23,0,,,,
2025-05-24,1,,,,
2025-05-25,1,,,,
2025-05-26,1,,,,
2025-05-27,0,,,,
2025-05-28,0,,,,
2025-05-29,0,,,,
2025-05-30,0,,,,
2025-05-31,1,,,,
2025-06-01,1,,,,
2025-06-02,0,,,,
2025-06-03,0,,,,
2025-06-04,0,,,,
2025-06-05,0,,,,
2025-06-06,0,,,,
2025-06-07,1,,,,
2025-06-08,1,,,,
2025-06-09,0,,,,
2025-06-10,0,,,,
2025-06-11,0,,,,
2025-06-12,0,,,,
2025-06-13,0,,,,
2025-06-14,1,,,,
2025-06-15,1,,,,
2025-06-16,0,,,,
2025-06-17,0,,,,
2025-06-18,0,,,,
2025-06-19,1,,,,
2025-06-20,0,,,,
2025-06-21,1,,,,
2025-06-22,1,,,,
2025-06-23,0,,,,
2025-06-24,0,,,,
2025-06-25,0,,,,
2025-06-26,0,,,,
2025-06-27,0,,,,
2025-06-28,1,,,,
2025-06-29,1,,,,
2025-06-30,0,,,,
2025-07-01,0,,,,
2025-07-02,0,,,,
2025-07-03,0,,,,
2025-07-04,1,,,,
2025-07-05,1,,,,
2025-07-06,1,,,,
2025-07-07,0,,,,
2025-07-08,0,,,,
2025-07-09,0,,,,
2025-07-10,0,,,,
2025-07-11,0,,,,
2025-07-12,1,,,,
2025-07-13,1,,,,
2025-07-14,0,,,,
2025-07-15,0,,,,
2025-07-16,0,,,,
2025-07-17,0,,,,
2025-07-18,0,,,,
2025-07-19,1,,,,
2025-07-20,1,,,,
2025-07-21,0,,,,
2025-07-22,0,,,,
2025-07-23,0,,,,
2025-07-24,0,,,,
2025-07-25,0,,,,
2025-07-26,1,,,,
2025-07-27,1,,,,
2025-07-28,0,,,,
2025-07-29,0,,,,
2025-07-30,0,,,,
2025-07-31,0,,,,
2025-08-01,0,,,,
2025-08-02,1,,,,
2025-08-03,1,,,,
2025-08-04,0,,,,
2025-08-05,0,,,,
2025-08-06,0,,,,
2025-08-07,0,,,,
2025-08-08,0,,,,
2025-08-09,1,,,,
2025-08-10,1,,,,
2025-08-11,0,,,,
2025-08-12,0,,,,
2025-08-13,0,,,,
2025-08-14,0,,,,
2025-08-15,0,,,,
2025-08-16,1,,,,
2025-08-17,1,,,,
2025-08-18,0,,,,
2025-08-19,0,,,,
2025-08-20,0,,,,
2025-08-21,0,,,,
2025-08-22,0,,,,
2025-08-23,1,,,,
2025-08-24,1,,,,
2025-08-25,0,,,,
2025-08-26,0,,,,
2025-08-27,0,,,,
2025-08-28,0,,,,
2025-08-29,0,,,,
2025-08-30,1,,,,
2025-08-31,1,,,,
